organization_name,coursera_name,coursera_code,star,reviews,level,result
IBM,Generative AI for Data Analysts Specialization,Generative AI for Data Analysts Specialization,4.8,56,Intermediate level,"['Apply your skills to recognize real-world generative AI uses and identify popular generative AI models and tools.', 'Gain knowledge of generative AI prompt engineering concepts, examples, common tools and techniques needed to create effective, impactful prompts.', 'Identify appropriate generative AI\u202ftools for data analytics.', 'Examine real-world applications where generative AI can enhance data analytics workflows.']"
DeepLearning.AI,DeepLearning.AI TensorFlow Developer Professional Certificate,DeepLearning.AI TensorFlow Developer Professional Certificate,4.7,21310,Intermediate level,"['Best practices for TensorFlow, a popular open-source machine learning framework to train a neural network for a computer vision applications.', 'Handle real-world image data and explore strategies to prevent overfitting, including augmentation and dropout.', 'Build natural language processing systems using TensorFlow.', 'Apply RNNs, GRUs, and LSTMs as you train them using text repositories.']"
Google,"Foundations: Data, Data, Everywhere","Foundations: Data, Data, Everywhere",4.8,101185,Beginner level,"['Define and explain key concepts involved in data analytics including data, data analysis, and data ecosystems.', 'Conduct an analytical thinking self assessment giving specific examples of the application of analytical thinking.', 'Discuss the role of spreadsheets, query languages, and data visualization tools in data analytics.', 'Describe the role of a data analyst with specific reference to jobs.']"
Universidad Nacional Autónoma de México,Database systems Specialization,Database systems Specialization,4.0,232,Intermediate level,[]
University of California San Diego,Python Data Products for Predictive Analytics Specialization,Python Data Products for Predictive Analytics Specialization,4.1,167,Intermediate level,"['Discover how to transform data and make it suitable for data-driven predictive tasks ', 'Understand how to compute basic statistics using real-world datasets of consumer activities, like product reviews and more', 'Use Python to create interactive data visualizations to make meaningful predictions and build simple demo systems', 'Perform simple regressions and classifications on datasets using machine learning libraries ']"
DeepLearning.AI,Supervised Machine Learning: Regression and Classification,Supervised Machine Learning: Regression and Classification,4.9,19799,Beginner level,"['Build machine learning models in Python using popular machine learning libraries NumPy & scikit-learn', 'Build & train supervised machine learning models for prediction & binary classification tasks, including linear regression & logistic regression']"
Google,Regression Analysis: Simplify Complex Data Relationships,Regression Analysis: Simplify Complex Data Relationships,4.7,329,Advanced level,"['Investigate relationships in datasets', 'Identify regression model assumptions ', 'Perform linear and logistic regression using Python', 'Practice model evaluation and interpretation']"
Coursera Project Network,HR Analytics- Build an HR dashboard using Power BI,HR Analytics- Build an HR dashboard using Power BI,4.6,249,Beginner level,"['Build an attractive and eye-catching HR dashboard', 'Visualize gender & racial diversity using graphs & charts in Power BI', 'Explore buttons, themes, filters & slicers to make the dashboard interactive & smart']"
University of Colorado Boulder,Statistical Inference for Estimation in Data Science,Statistical Inference for Estimation in Data Science,4.1,65,Intermediate level,"['Identify characteristics of “good” estimators and be able to compare competing estimators.', 'Construct sound estimators using the techniques of maximum likelihood and method of moments estimation.', 'Construct and interpret confidence intervals for one and two population means, one and two population proportions, and a population variance.']"
University of Michigan,Sports Performance Analytics Specialization,Sports Performance Analytics Specialization,4.5,207,Intermediate level,"['Understand how to construct predictive models to anticipate team and player performance.', 'Understand the science behind athlete performance and game prediction.', 'Engage in a practical way to apply their Python, statistics, or predictive modeling skills.']"
IBM,Applied Data Science Specialization,Applied Data Science Specialization,4.7,7480,Beginner level,"['Develop an understanding of Python fundamentals', '', 'Gain practical Python skills and apply them to data analysis', '', 'Communicate data insights effectively through data visualizations', '', 'Create a project demonstrating your understanding of applied data science techniques and tools', '']"
Stanford University,Probabilistic Graphical Models Specialization,Probabilistic Graphical Models Specialization,4.6,1271,Advanced level,[]
University of Washington,Computational Neuroscience,Computational Neuroscience,4.6,1058,Beginner level,[]
University of Michigan,Applied Machine Learning in Python,Applied Machine Learning in Python,4.6,8474,Intermediate level,"['Describe how machine learning is different than descriptive statistics', 'Create and evaluate data clusters', 'Explain different approaches for creating predictive models', 'Build features that meet analysis needs']"
University of Michigan,Understanding and Visualizing Data with Python,Understanding and Visualizing Data with Python,4.7,2601,Beginner level,"['Properly identify various data types and understand the different uses for each  ', 'Create data visualizations and numerical summaries with Python', 'Communicate statistical ideas clearly and concisely to a broad audience', 'Identify appropriate analytic techniques for probability and non-probability samples']"
University of Illinois at Urbana-Champaign,Health Data Science Foundation,Health Data Science Foundation,NaN,NaN,Advanced level,"['Machine Learning, Health Data Processing']"
"University of California, Irvine",Leverage Data Science for a More Agile Supply Chain Specialization,Leverage Data Science for a More Agile Supply Chain Specialization,4.5,198,Intermediate level,"['Analyze historical data to determine inventory levels in steady and uncertain demand situations using Excel.', 'Set up and solve optimization problems in Excel.', 'Build a demand and inventory snapshot and run a Monte Carlo simulation to solve for a more agile supply chain.']"
PwC,Data-driven Decision Making,Data-driven Decision Making,4.6,6047,Beginner level,[]
Google,The Nuts and Bolts of Machine Learning,The Nuts and Bolts of Machine Learning,4.8,299,Advanced level,"['Identify characteristics of the different types of machine learning ', 'Prepare data for machine learning models ', 'Build and evaluate supervised and unsupervised learning models using Python', 'Demonstrate proper model and metric selection for a machine learning algorithm']"
Google,"Decisions, Decisions: Dashboards and Reports","Decisions, Decisions: Dashboards and Reports",4.8,647,Advanced level,"['Design BI visualizations', 'Practice using BI reporting and dashboard tools', 'Create presentations to share key BI insights with stakeholders', 'Develop professional materials for your job search']"
Imperial College London,TensorFlow 2 for Deep Learning Specialization,TensorFlow 2 for Deep Learning Specialization,4.8,564,Intermediate level,[]
IBM,Databases and SQL for Data Science with Python,Databases and SQL for Data Science with Python,4.6,19599,Beginner level,"['Analyze data within a database using SQL and Python.', 'Create a relational database and work with multiple tables using DDL commands. ', 'Construct basic to intermediate level SQL queries using DML commands. ', 'Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. ']"
IBM,Data Science with R - Capstone Project,Data Science with R - Capstone Project,4.6,69,Intermediate level,"['Write a web scraping program to extract data from an HTML file using HTTP requests and convert the data to a data frame.', 'Prepare data for modelling by handling missing values, formatting and normalizing data, binning, and turning categorical values into numeric values.', 'Interpret datawithexploratory data analysis techniques by calculating descriptive statistics, graphing data, and generating correlation statistics.', 'Build a Shiny app containing a Leaflet map and an interactive dashboard then create a presentation on the project to share with your peers.']"
Coursera Project Network,AutoML tools for data science,AutoML tools for data science,NaN,NaN,Beginner level,['Learn how to use different AutoML tools for efficient exploratory data analysis.']
The University of North Carolina at Chapel Hill,Research Data Management and Sharing,Research Data Management and Sharing,4.7,682,Beginner level,[]
Duke University,Pandas for Data Science,Pandas for Data Science,NaN,NaN,Beginner level,"['How and when to leverage the Pandas library for your data science projects', 'Best practices for cleaning, manipulating, and optimizing data with Pandas']"
IBM,Deep Neural Networks with PyTorch,Deep Neural Networks with PyTorch,4.4,1612,Intermediate level,"['Demonstrate your comprehension of deep learning algorithims and implement them using Pytorch. ', 'Explain and apply knowledge of Deep Neural Networks and related machine learning methods.', 'Describe how to use Python libraries such as PyTorch for Deep Learning applications.', 'Build Deep Neural Networks using PyTorch.']"
IBM,Generative AI Fundamentals Specialization,Generative AI Fundamentals Specialization,4.7,348,Beginner level,"['Explain the fundamental concepts, capabilities, models, tools, applications, and platforms of generative AI foundation models.', 'Apply powerful prompt engineering techniques to write effective prompts and generate desired outcomes from AI models.', 'Discuss the limitations of generative AI and explain the ethical concerns and considerations for the responsible use of generative AI.', 'Recognize the ability of generative AI to enhance your career and help implement improvements at your workplace.']"
University of Alberta,Reinforcement Learning Specialization,Reinforcement Learning Specialization,4.8,3193,Intermediate level,"['Build a Reinforcement Learning system for sequential decision making.', 'Understand the space of RL algorithms (Temporal- Difference learning, Monte Carlo, Sarsa, Q-learning, Policy Gradients, Dyna, and more).', 'Understand how to formalize your task as a Reinforcement Learning problem, and how to begin implementing a solution.  ', 'Understand how RL fits under the broader umbrella of machine learning, and how it complements deep learning, supervised and unsupervised learning ']"
DeepLearning.AI,AI for Medicine Specialization,AI for Medicine Specialization,4.7,2107,Intermediate level,"['Diagnose diseases from x-rays and 3D MRI brain images', 'Predict patient survival rates more accurately using tree-based models', 'Estimate treatment effects on patients using data from randomized trials', 'Automate the task of labeling medical datasets using natural language processing']"
DeepLearning.AI,Generative AI for Everyone,Generative AI for Everyone,4.8,1407,Beginner level,"['What generative AI is and how it works, its common use cases, and what this technology can and cannot do.', 'How to think through the lifecycle of a generative AI project, from conception to launch, including how to build effective prompts.', '', 'The potential opportunities and risks that generative AI technologies present to individuals, businesses, and society.', '']"
Duke University,"DevOps, DataOps, MLOps","DevOps, DataOps, MLOps",4.0,73,Advanced level,"['Build operations pipelines using DevOps, DataOps, and MLOps', 'Explain the principles and practices of MLOps (i.e., data management, model training and development, continuous integration and delivery, etc.)', 'Build and deploy machine learning models in a production environment using MLOps tools and platforms.']"
Johns Hopkins University,Executive Data Science Specialization,Executive Data Science Specialization,4.5,7165,Beginner level,"['Become conversant in the field and understand your role as a leader.', 'Recruit, assemble, evaluate, and develop a team with complementary skill sets and roles.', 'Navigate the structure of the data science pipeline by understanding the goals of each stage and keeping your team on target throughout.', 'Overcome the common challenges that frequently derail data science projects.']"
Microsoft,Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization,Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization,4.6,485,Beginner level,"['You will learn about the types of solutions AI makes possible, and the services on Microsoft Azure that you can use to create them.']"
Amazon Web Services,Getting Started with Data Analytics on AWS,Getting Started with Data Analytics on AWS,4.5,794,Beginner level,"['Explain different types of data analyses – descriptive, diagnostic, predictive, prescriptive', '', '', 'Understand how to perform descriptive data analytics in the cloud with typical data sets', '', '', 'How to build simple visualizations in AWS QuickSight to do descriptive analytics (using S3, Cloudtrail, Athena)', '', '']"
Coursera Project Network,Pandas Python Library for Beginners in Data Science,Pandas Python Library for Beginners in Data Science,4.4,317,Beginner level,"['Learn how to clean data using pandas.', 'Learn how to do basic data preprocessing.', 'Learn how to handle quantitative data (numeric data) and qualitative data (text data) with pandas.']"
Microsoft,Microsoft Azure Developer Associate (AZ-204) Professional Certificate,Microsoft Azure Developer Associate (AZ-204) Professional Certificate,4.6,154,Intermediate level,[]
Erasmus University Rotterdam,Econometrics: Methods and Applications,Econometrics: Methods and Applications,4.6,1172,Intermediate level,[]
University of Colorado Boulder,Statistical Inference and Hypothesis Testing in Data Science Applications,Statistical Inference and Hypothesis Testing in Data Science Applications,4.7,38,Intermediate level,[]
Stanford University,Fundamentals of Machine Learning for Healthcare,Fundamentals of Machine Learning for Healthcare,4.8,430,Beginner level,"['Define important relationships between the fields of machine learning, biostatistics, and traditional computer programming.', 'Learn about advanced neural network architectures for tasks ranging from text classification to object detection and segmentation.', 'Learn important approaches for leveraging data to train, validate, and test machine learning models.', 'Understand how dynamic medical practice and discontinuous timelines impact clinical machine learning application development and deployment.']"
University of Colorado System,Advanced Clinical Data Science,Advanced Clinical Data Science,4.8,21,Intermediate level,[]
New York University,Machine Learning and Reinforcement Learning in Finance Specialization,Machine Learning and Reinforcement Learning in Finance Specialization,3.7,750,Intermediate level,"['Compare ML for Finance with ML in Technology (image and speech recognition, robotics, etc.)  ', 'Describe linear regression and classification models and methods of their evaluation  ', 'Explain how Reinforcement Learning is used for stock trading  ', 'Become familiar with popular approaches to modeling market frictions and feedback effects for option trading.  ']"
Coursera Project Network,Snowflake for Data Science: Intro to Snowpark ML for Python,Snowflake for Data Science: Intro to Snowpark ML for Python,NaN,NaN,Intermediate level,"[' Load data into Snowflake and setup Python workspace.', ' Transform data using Snowpark ML API and build a preprocessing pipeline.', ' Train an XGBoost model using the Snowpark ML Model API and deploy the model as a UDF for inference.']"
IBM,Python Project for Data Science,Python Project for Data Science,4.5,4057,Intermediate level,"['Play the role of a Data Scientist / Data Analyst working on a real project.', 'Demonstrate your Skills in Python - the language of choice for Data Science and Data Analysis. ', 'Apply Python fundamentals, Python data structures, and working with data in Python.', 'Build a dashboard using Python and libraries like Pandas, Beautiful Soup and Plotly using Jupyter notebook.']"
IBM,Generative AI: Foundation Models and Platforms,Generative AI: Foundation Models and Platforms,4.7,80,Beginner level,"['Describe the fundamental concepts of generative AI and its core models', 'Explain the concept of foundation models in generative AI', 'Explore the capabilities of pre-trained models for AI-powered applications. ', 'Explore the features, capabilities, and applications of different generative AI platforms, such as IBM watsonx and Hugging Face']"
University of Illinois at Urbana-Champaign,Deep Learning for Healthcare Specialization,Deep Learning for Healthcare Specialization,3.2,36,Advanced level,[]
University of Colorado Boulder,Python Packages for Data Science,Python Packages for Data Science,4.4,40,Intermediate level,"['By successfully completing this course, you will be able to use Python pacakges developed for data science.', 'You will learn how to use Numpy and Pandas to manipulate data.', 'You will learn how to use Matplotlib and Seaborn to develop data visualizations.']"
LearnQuest,Introduction to Data Science and scikit-learn in Python,Introduction to Data Science and scikit-learn in Python,3.8,40,Beginner level,"['Employ artificial intelligence techniques to test hypothesis in Python', 'Apply a machine learning model combining Numpy, Pandas, and Scikit-Learn']"
Coursera Project Network,SQL for Beginners: Querying Data,SQL for Beginners: Querying Data,4.5,41,Intermediate level,"['Use SELECT Statements to select columns of datasets  ', 'Apply conditions to a SQL query using the WHERE clause  ', 'Group a dataset by one or more columns.with the GROUP BY clause']"
IBM,Exploratory Data Analysis for Machine Learning,Exploratory Data Analysis for Machine Learning,4.6,1682,Intermediate level,[]
Microsoft,Harnessing the Power of Data with Power BI,Harnessing the Power of Data with Power BI,4.5,689,Beginner level,"['How to recognize and use the key data analysis components of Microsoft Power BI.', ""Understand a Power BI data analyst's skills, tasks, and tools. "", 'Describe the different stages in the data analysis process that result in data-driven decisions. ']"
Johns Hopkins University,Bioconductor for Genomic Data Science,Bioconductor for Genomic Data Science,3.8,364,Beginner level,[]
DeepLearning.AI,Natural Language Processing with Probabilistic Models,Natural Language Processing with Probabilistic Models,4.7,1670,Intermediate level,"['Use dynamic programming, hidden Markov models, and word embeddings to implement autocorrect, autocomplete & identify part-of-speech tags for words.', '']"
DeepLearning.AI,Natural Language Processing with Attention Models,Natural Language Processing with Attention Models,4.4,987,Intermediate level,"['Use encoder-decoder, causal, & self-attention to machine translate complete sentences, summarize text, build chatbots & question-answering.', '']"
IBM,Data Science Fundamentals with Python and SQL Specialization,Data Science Fundamentals with Python and SQL Specialization,4.6,2700,Beginner level,"['Working knowledge of Data Science Tools such as Jupyter Notebooks, R Studio, GitHub, Watson Studio', 'Python programming basics including data structures, logic, working with files, invoking APIs, and libraries such as Pandas and Numpy', 'Statistical Analysis techniques including  Descriptive Statistics, Data Visualization, Probability Distribution, Hypothesis Testing and Regression', 'Relational Database fundamentals including SQL query language, Select statements, sorting & filtering, database functions, accessing multiple tables']"
Coursera Project Network,Introduction to Widgets for Data Science,Introduction to Widgets for Data Science,NaN,NaN,Beginner level,"['Learn basic widgets, combining them and using them in dashboards for analysis']"
DeepLearning.AI,"Sequences, Time Series and Prediction","Sequences, Time Series and Prediction",4.7,5013,Intermediate level,"['Solve time series and forecasting problems in TensorFlow', 'Prepare data for time series learning using best practices', 'Explore how RNNs and ConvNets can be used for predictions', 'Build a sunspot prediction model using real-world data']"
MathWorks,Practical Data Science with MATLAB Specialization,Practical Data Science with MATLAB Specialization,4.8,896,Beginner level,"['Analyze large datasets & calculate statistics on specific groups in the data', 'Use interactive tools to investigate your data & remove noise and outliers', 'Create & evaluate machine learning models', 'Create reports & interactive documents to share your work']"
University of Colorado Boulder,Probability Theory: Foundation for Data Science,Probability Theory: Foundation for Data Science,4.5,159,Intermediate level,"['Explain why probability is important to statistics and data science.', 'See the relationship between conditional and independent events in a statistical experiment.', 'Calculate the expectation and variance of several random variables and develop some intuition.']"
Johns Hopkins University,Tidyverse Skills for Data Science in R Specialization,Tidyverse Skills for Data Science in R Specialization,4.6,88,Beginner level,"['Organize a data science project', 'Import data from common spreadsheet, database, and web-based formats', 'Wrangle and manipulate messy data and build tidy datasets', 'Build presentation quality data graphics', 'Build predictive machine learning models']"
Johns Hopkins University,Python for Genomic Data Science,Python for Genomic Data Science,4.3,1691,Beginner level,[]
University of Colorado Boulder,Statistical Modeling for Data Science Applications Specialization,Statistical Modeling for Data Science Applications Specialization,4.3,30,Intermediate level,"['Correctly analyze and apply tools of regression analysis to model relationship between variables and make predictions given a set of input variables.', 'Successfully conduct experiments based on best practices in experimental design.', 'Use advanced statistical modeling techniques, such as generalized linear and additive models, to model wide range of real-world relationships.']"
IBM,Introduction to R Programming for Data Science,Introduction to R Programming for Data Science,4.5,429,Beginner level,"['Manipulate primitive data types in the R programming language using RStudio or Jupyter Notebooks.', 'Control program flow with conditions and loops, write functions, perform character string operations, write regular expressions, handle errors. ', 'Construct and manipulate R data structures, including vectors, factors, lists, and data frames.', 'Read, write, and save data files and scrape web pages using R. ']"
Genentech,Data Science in Health Technology Assessment,Data Science in Health Technology Assessment,NaN,NaN,Intermediate level,[]
Johns Hopkins University,Command Line Tools for Genomic Data Science,Command Line Tools for Genomic Data Science,4.0,545,Intermediate level,[]
"University of California, Davis",SQL for Data Science,SQL for Data Science,4.6,16128,Beginner level,"['Identify a subset of data needed from a column or set of columns and write a SQL query to limit to those results.', 'Use SQL commands to filter, sort, and summarize data.', 'Create an analysis table from multiple queries using the UNION operator.', 'Manipulate strings, dates, & numeric data using functions to integrate data from different sources into fields with the correct format for analysis.']"
IBM,SQL for Data Science with R,SQL for Data Science with R,4.3,129,Beginner level,"['Create and access a database instance on the cloud', 'Compose and\u202fexecute basic SQL statements - SELECT, INSERT, UPDATE, DELETE, CREATE, DROP', 'Construct SQL statements to filter, sort, group results, use built-in functions, compose nested queries, access multiple tables', 'Analyze data from Jupyter using R and SQL by combining SQL and R skills to query real-world datasets']"
"University of California, Davis",SQL for Data Science Capstone Project,SQL for Data Science Capstone Project,4.2,223,Intermediate level,"['Develop a project proposal and select your data', 'Perform descriptive statistics as part of your exploratory analysis', 'Develop metrics and perform advanced techniques in SQL', 'Present your findings and make recommendations']"
Genentech,Data Sciences in Pharma - Patient Centered Outcomes Research,Data Sciences in Pharma - Patient Centered Outcomes Research,NaN,NaN,Intermediate level,"['How patient experience data is used in the drug lifecycle', 'Developing a patient-centric measurement strategy and using qualitative and quantitative patient experience data as evidence in drug development', 'Common clinical outcome assessment outputs and considerations when interpreting clinical outcome assessment data']"
Databricks,Data Science Fundamentals for Data Analysts,Data Science Fundamentals for Data Analysts,4.2,54,Intermediate level,"['Apply foundational data science concepts and techniques to solve these real-world problems. ', 'Design, execute, assess, and communicate the results of your very own data science projects.']"
University of Colorado System,Data Science for Marketing Specialization,Data Science for Marketing Specialization,NaN,NaN,Intermediate level,['Apply data science techniques to optimize marketing strategies and increase customer engagement. ']
Johns Hopkins University,Statistics for Genomic Data Science,Statistics for Genomic Data Science,4.2,354,Intermediate level,[]
Johns Hopkins University,Building a Data Science Team,Building a Data Science Team,4.5,3279,Intermediate level,"['Describe the various roles that make up a Data Science team', 'Manage a Data Science team onboarding', 'Know relevant questions for interviewing data scientists', 'Understand how to encourage and empower Data Science teams']"
University of Colorado System,Introduction to Clinical Data Science,Introduction to Clinical Data Science,4.5,394,Intermediate level,"['Describe how each type of clinical data are generated, specifically outlining who creates the data, when and why the data are generated.', 'Write SQL code to combine two or more tables using database joins.', 'Write R code to manipulate and tidy data including: selecting columns, filtering rows, and joining data sets. ', 'Write markdown formatted text and combine with R code in RMarkdown documents.']"
Yonsei University,Spatial Data Science and Applications,Spatial Data Science and Applications,4.4,502,Intermediate level,[]
Johns Hopkins University,Advanced Linear Models for Data Science 1: Least Squares,Advanced Linear Models for Data Science 1: Least Squares,4.5,184,Advanced level,[]
IBM,Data Science Methodology,Data Science Methodology,4.6,20045,Beginner level,"['Describe what a data science methodology is and why data scientists need a methodology.', 'Apply the six stages in the Cross-Industry Process for Data Mining (CRISP-DM) methodology to analyze a case study.', 'Evaluate which analytic model is appropriate among predictive, descriptive, and classification models used to analyze a case study.', 'Determine appropriate data sources for your data science analysis methodology.']"
Johns Hopkins University,Data Science Capstone,Data Science Capstone,4.5,1224,Advanced level,"['Create a useful data product for the public', 'Apply your exploratory data analysis skills', 'Build an efficient and accurate prediction model', 'Produce a presentation deck to showcase your findings']"
Edureka,Power BI for Data Science and Analytics,Power BI for Data Science and Analytics,NaN,NaN,Intermediate level,['Analyzing Data by using the AI analytical features offered by Power BI']
"University of California, Irvine","Intro to Analytic Thinking, Data Science, and Data Mining","Intro to Analytic Thinking, Data Science, and Data Mining",4.2,130,Intermediate level,"['The knowledge and skills needed to work in the data science profession', 'How data science is used to solve business problems', 'The benefits of using the cross-industry standard process for data mining (CRISP-DM)']"
CertNexus,Address Business Issues with Data Science,Address Business Issues with Data Science,4.4,21,Intermediate level,[]
Johns Hopkins University,Advanced Linear Models for Data Science 2: Statistical Linear Models,Advanced Linear Models for Data Science 2: Statistical Linear Models,4.5,94,Advanced level,[]
MathWorks,Data Science Project: MATLAB for the Real World,Data Science Project: MATLAB for the Real World,4.8,24,Intermediate level,"['Apply a full data science workflow, including importing & cleaning data, creating features, training machine learning models, & evaluating results', 'Effectively communicate results by identifying your target audience & creating meaningful visualizations', 'Create a final report that includes text, code, & visualizations to share with colleagues']"
